"","clay","sand","silt","label","x","y"
"1",100,0,0,"Clay",50,100
"2",55,45,0,"Clay",27.5,55
"3",40,45,15,"Clay",35,40
"4",40,20,40,"Clay",60,40
"5",60,0,40,"Clay",70,60
"6",55,45,0,"Sandy Clay",27.5,55
"7",35,65,0,"Sandy Clay",17.5,35
"8",35,45,20,"Sandy Clay",37.5,35
"9",35,65,0,"Sandy Clay Loam",17.5,35
"10",20,80,0,"Sandy Clay Loam",10,20
"11",20,52.5,27.5,"Sandy Clay Loam",37.5,20
"12",27.5,45,27.5,"Sandy Clay Loam",41.25,27.5
"13",35,45,20,"Sandy Clay Loam",37.5,35
"14",20,80,0,"Sandy Loam",10,20
"15",15,85,0,"Sandy Loam",7.5,15
"16",0,70,30,"Sandy Loam",30,0
"17",0,50,50,"Sandy Loam",50,0
"18",5,45,50,"Sandy Loam",52.5,5
"19",5,52.5,42.5,"Sandy Loam",45,5
"20",20,52.5,27.5,"Sandy Loam",37.5,20
"21",15,85,0,"Loamy Sand",7.5,15
"22",10,90,0,"Loamy Sand",5,10
"23",0,85,15,"Loamy Sand",15,0
"24",0,70,30,"Loamy Sand",30,0
"25",10,90,0,"Sand",5,10
"26",0,100,0,"Sand",0,0
"27",0,85,15,"Sand",15,0
"28",40,45,15,"Clay Loam",35,40
"29",27.5,45,27.5,"Clay Loam",41.25,27.5
"30",27.5,20,52.5,"Clay Loam",66.25,27.5
"31",40,20,40,"Clay Loam",60,40
"32",27.5,45,27.5,"Loam",41.25,27.5
"33",20,52.5,27.5,"Loam",37.5,20
"34",5,52.5,42.5,"Loam",45,5
"35",5,45,50,"Loam",52.5,5
"36",27.5,22.5,50,"Loam",63.75,27.5
"37",27.5,22.5,50,"Silt Loam",63.75,27.5
"38",0,50,50,"Silt Loam",50,0
"39",0,20,80,"Silt Loam",80,0
"40",12.5,7.5,80,"Silt Loam",86.25,12.5
"41",12.5,0,87.5,"Silt Loam",93.75,12.5
"42",27.5,0,72.5,"Silt Loam",86.25,27.5
"43",60,0,40,"Silty Clay",70,60
"44",40,20,40,"Silty Clay",60,40
"45",40,0,60,"Silty Clay",80,40
"46",40,20,40,"Silty Clay Loam",60,40
"47",27.5,20,52.5,"Silty Clay Loam",66.25,27.5
"48",27.5,0,72.5,"Silty Clay Loam",86.25,27.5
"49",40,0,60,"Silty Clay Loam",80,40
"50",12.5,7.5,80,"Silt",86.25,12.5
"51",0,20,80,"Silt",80,0
"52",0,0,100,"Silt",100,0
"53",12.5,0,87.5,"Silt",93.75,12.5
